,Title,Price,Rating,Stock
0,A Light in the Attic,51.77,Three,out of stock
1,Tipping the Velvet,53.74,One,out of stock
2,Soumission,50.1,One,out of stock
3,Sharp Objects,47.82,Four,out of stock
4,Sapiens: A Brief History of Humankind,54.23,Five,out of stock
5,The Requiem Red,22.65,One,out of stock
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,out of stock
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,out of stock
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,out of stock
9,The Black Maria,52.15,One,out of stock
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,out of stock
11,Shakespeare's Sonnets,20.66,Four,out of stock
12,Set Me Free,17.46,Five,out of stock
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,out of stock
14,Rip it Up and Start Again,35.02,Five,out of stock
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,out of stock
16,Olio,23.88,One,out of stock
17,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,out of stock
18,Libertarianism for Beginners,51.33,Two,out of stock
19,It's Only the Himalayas,45.17,Two,out of stock
20,In Her Wake,12.84,One,out of stock
21,How Music Works,37.32,Two,out of stock
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,out of stock
23,Chase Me (Paris Nights #2),25.27,Five,out of stock
24,Black Dust,34.53,Five,out of stock
25,Birdsong: A Story in Pictures,54.64,Three,out of stock
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,out of stock
27,Aladdin and His Wonderful Lamp,53.13,Three,out of stock
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,out of stock
29,Wall and Piece,44.18,Four,out of stock
30,The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,out of stock
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,out of stock
32,The Elephant Tree,23.82,Five,out of stock
33,The Bear and the Piano,36.89,One,out of stock
34,Sophie's World,15.94,Five,out of stock
35,Penny Maybe,33.29,Three,out of stock
36,Maude (1883-1993):She Grew Up with the country,18.02,Two,out of stock
37,"In a Dark, Dark Wood",19.63,One,out of stock
38,Behind Closed Doors,52.22,Four,out of stock
39,You can't bury them all: Poems,33.63,Two,out of stock
40,Slow States of Collapse: Poems,57.31,Three,out of stock
41,Reasons to Stay Alive,26.41,Two,out of stock
42,Private Paris (Private #10),47.61,Five,out of stock
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,out of stock
44,Without Borders (Wanderlove #1),45.07,Two,out of stock
45,When We Collided,31.77,One,out of stock
46,"We Love You, Charlie Freeman",50.27,Five,out of stock
47,Untitled Collection: Sabbath Poems 2014,14.27,Four,out of stock
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,out of stock
49,Unicorn Tracks,18.78,Three,out of stock
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,out of stock
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,out of stock
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,out of stock
53,This One Summer,19.49,Four,out of stock
54,Thirst,17.27,Five,out of stock
55,The Torch Is Passed: A Harding Family Story,19.09,One,out of stock
56,The Secret of Dreadwillow Carse,56.13,One,out of stock
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,out of stock
58,The Past Never Ends,56.5,Four,out of stock
59,The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,out of stock
60,The Nameless City (The Nameless City #1),38.16,Four,out of stock
61,The Murder That Never Was (Forensic Instincts #5),54.11,Three,out of stock
